"score","medication","name"
17,"Tdap","acellular pertussis vaccine, inactivated / diphtheria toxoid vaccine, inactivated / tetanus toxoid vaccine, inactivated"
25,"Bromfenex PD 6-60 MG CPCR","Brompheniramine Tannate 1.2 MG/ML / PSEUDOEPHEDRINE TANNATE 6 MG/ML Extended Release Suspension [Brovex PD]"
29,"Amoclan 600-42.9 MG/5ML SUSR","Amoxicillin 40 MG/ML / Clavulanate 5.7 MG/ML [Amoclan]"
30,"Integra 62.5-62.5-40-3 MG Oral Capsule","Ascorbic Acid 40 MG / Ferrous fumarate 191 MG / Folic Acid 1 MG / Niacinamide 3 MG / Polysaccharide iron complex 136 MG Oral Capsule [Integra F]"
33,"Camino Pro 15 BetterMilk Oral Packet","Propantheline 15 MG Oral Tablet [Probanthine]"
33,"CeraVe External Cream","dimethicone 10 MG/ML Topical Cream"
33,"Occupational Therapy","Oxy Hydrating Therapy"
33,"Physical Therapy","Oxy Hydrating Therapy"
33,"RA Antiseptic Mouth Rinse Mouth/Throat Liquid","Hydrogen Peroxide 15 MG/ML Mucous Membrane Topical Solution [Orajel Mouth Sore Rinse]"
33,"Speech Therapy","Oxy Hydrating Therapy"
38,"OneTouch Ultra System w/Device Kit","{1 (13.5 ML) (Benzoyl Peroxide 100 MG/ML Topical Cream [Clearasil]) / 1 (150 ML) (Salicylic Acid 20 MG/ML Medicated Liquid Soap [Clearasil Acne Control]) / 1 (45 ML) (Salicylic Acid 5 MG/ML Topical Lotion [Clearasil Daily Clear Hydrating Lotion]) } Pack [Clearasil Daily Clear Clear Skin]"
39,"TriNessa (28) 0.18/0.215/0.25 MG-35 MCG Oral Tablet","{7 (Ethinyl Estradiol 0.035 MG / norgestimate 0.18 MG Oral Tablet) / 7 (Ethinyl Estradiol 0.035 MG / norgestimate 0.215 MG Oral Tablet) / 7 (Ethinyl Estradiol 0.035 MG / norgestimate 0.25 MG Oral Tablet) / 7 (Inert Ingredients 1 MG Oral Tablet) } Pack [Trinessa 28 Day]"
40,"AnaMantle HC 3-0.5 % KIT","hydrocortisone acetate 10 MG/ML / Lidocaine Hydrochloride 30 MG/ML Rectal Cream [Anamantle HC]"
40,"OB Complete with DHA 28-1.25-200 MG CAPS","docosahexaenoic acid 200 MG Oral Capsule"
42,"Azurette 0.15-0.02/0.01 MG (21/5) Oral Tablet","{21 (Desogestrel 0.15 MG / Ethinyl Estradiol 0.02 MG Oral Tablet) / 5 (Ethinyl Estradiol 0.01 MG Oral Tablet) / 2 (Inert Ingredients 1 MG Oral Tablet) } Pack [Azurette 28 Day]"
42,"Uribel 118 MG Oral Capsule","Hyoscyamine Sulfate 0.12 MG / Methenamine 118 MG / Methylene blue 10 MG / phenyl salicylate 36 MG / Sodium Phosphate, Monobasic 40.8 MG Oral Capsule [Uribel]"
43,"Desitin 13 % External Cream","Zinc Oxide 130 MG/ML Topical Cream [Desitin]"
43,"Diovan 320/25 CAPS","Hydrochlorothiazide 25 MG / valsartan 320 MG Oral Tablet [Diovan HCT]"
43,"Duac CS 1-5 % KIT","Benzoyl Peroxide 0.05 MG/MG / Clindamycin 0.01 MG/MG Topical Gel [Duac]"
43,"Integra F 125-1 MG Oral Capsule","Ascorbic Acid 40 MG / Ferrous fumarate 191 MG / Folic Acid 1 MG / Niacinamide 3 MG / Polysaccharide iron complex 136 MG Oral Capsule [Integra F]"
45,"Humatrope 12 MG Injection Solution Reconstituted","Somatropin 4.17 MG/ML Injectable Solution [Humatrope]"
45,"Humatrope 6 MG Injection Solution Reconstituted","Somatropin 2.08 MG/ML Injectable Solution [Humatrope]"
45,"Savella Titration Pack 12.5 & 25 & 50 MG Oral Miscellaneous","Milnacipran hydrochloride 12.5 MG Oral Tablet [Savella]"
45,"Seasonique 0.15-0.03 &0.01 MG Oral Tablet","{7 (Ethinyl Estradiol 0.01 MG Oral Tablet) / 84 (Ethinyl Estradiol 0.03 MG / Levonorgestrel 0.15 MG Oral Tablet) } Pack [Seasonique]"
47,"Chantix Starting Month Pak 0.5 MG X 11 & 1 MG X 42 Oral Tablet","{11 (varenicline 0.5 MG Oral Tablet [Chantix]) / 42 (varenicline 1 MG Oral Tablet [Chantix]) } Pack [Chantix First Month of Therapy]"
50,"AndroGel Pump 1 % GEL","60 ACTUAT Testosterone 20.25 MG/ACTUAT Topical Gel [Androgel]"
50,"Aviane 0.1-20 MG-MCG Oral Tablet","{21 (Ethinyl Estradiol 0.02 MG / Levonorgestrel 0.1 MG Oral Tablet) / 7 (Inert Ingredients 1 MG Oral Tablet) } Pack [Aviane 28]"
50,"Cambia 50 MG Oral Packet","Diclofenac Potassium 1.67 MG/ML Oral Solution [Cambia]"
50,"CefTAZidime Powder","Ceftazidime"
50,"Chloraseptic Gargle 1.4 % Mouth/Throat Liquid","phenol 14 MG/ML Mucosal Spray [Chloraseptic Spray]"
50,"Clotrimazole Anti-Fungal 1 % External Cream","Clotrimazole 10 MG/ML Topical Cream"
50,"Elite OB with DHA 28-1.25-200 MG Oral Capsule","docosahexaenoic acid 200 MG Oral Capsule"
50,"Flonase 50 MCG/ACT Nasal Suspension","120 ACTUAT Fluticasone propionate 0.05 MG/ACTUAT Nasal Inhaler [Flonase]"
50,"Fortical 200 UNIT/ACT Nasal Solution","salmon calcitonin 200 UNT/ACTUAT Nasal Spray [Fortical]"
50,"FreeStyle System KIT","Metronidazole 0.0075 MG/MG Topical Gel"
50,"GlycoLax Oral Powder","Glycolax Oral Product"
50,"Golytely 236 GM Oral Solution Reconstituted","POLYETHYLENE GLYCOL 3350 60 MG/ML / Potassium Chloride 0.01 MEQ/ML / Sodium Bicarbonate 0.02 MEQ/ML / Sodium Chloride 0.025 MEQ/ML / sodium sulfate 0.04 MEQ/ML Oral Solution [Golytely]"
50,"Lactobacillus Extra Strength Oral Capsule","Lactobacillus acidophilus Oral Capsule"
50,"LoSeasonique 0.1-0.02 & 0.01 MG Oral Tablet","{7 (Ethinyl Estradiol 0.01 MG Oral Tablet) / 84 (Ethinyl Estradiol 0.02 MG / Levonorgestrel 0.1 MG Oral Tablet) } Pack [LoSeasonique]"
50,"Lupron Depot 22.5 MG Intramuscular Kit","1.5 ML Leuprolide Acetate 15 MG/ML Prefilled Syringe [Lupron]"
50,"Lutera 0.1-20 MG-MCG Oral Tablet","{21 (Ethinyl Estradiol 0.02 MG / Levonorgestrel 0.1 MG Oral Tablet) / 7 (Inert Ingredients 1 MG Oral Tablet) } Pack [Lutera 28 Day]"
50,"Maxaron Forte Oral Capsule","Folic Acid 1 MG / Polysaccharide iron complex 150 MG / Vitamin B 12 0.025 MG Oral Capsule [Ferrex 150 Forte]"
50,"Methylin ER 10 MG TBCR","8 HR Methylphenidate Hydrochloride 10 MG Extended Release Oral Tablet [Methylin]"
50,"MiraLax Oral Packet","Miralax Oral Product"
50,"Nasacort AQ 55 MCG/ACT Nasal Aerosol Solution","120 ACTUAT Triamcinolone Acetonide 0.055 MG/ACTUAT Nasal Inhaler [Nasacort]"
50,"Nasonex 50 MCG/ACT Nasal Suspension","120 ACTUAT mometasone furoate 0.05 MG/ACTUAT Nasal Inhaler [Nasonex]"
50,"Numoisyn Mouth/Throat Lozenge","Eucalyptus oil / Menthol Oral Lozenge"
50,"Nutropin 10 MG Subcutaneous Solution Reconstituted","Somatropin 10 MG/ML Injectable Solution [Nutropin]"
50,"Omnaris 50 MCG/ACT Nasal Suspension","120 ACTUAT ciclesonide 0.05 MG/ACTUAT Nasal Inhaler [Omnaris]"
50,"PEG 3350 Oral Packet","POLYETHYLENE GLYCOL 3350"
50,"PEG 3350/Electrolytes 240 GM Oral Solution Reconstituted","POLYETHYLENE GLYCOL 3350 60 MG/ML / Potassium Chloride 0.01 MEQ/ML / Sodium Bicarbonate 0.02 MEQ/ML / Sodium Chloride 0.025 MEQ/ML / sodium sulfate 0.04 MEQ/ML Oral Solution [Golytely]"
50,"PEG-3350/Electrolytes 236 GM Oral Solution Reconstituted","POLYETHYLENE GLYCOL 3350 60 MG/ML / Potassium Chloride 0.01 MEQ/ML / Sodium Bicarbonate 0.02 MEQ/ML / Sodium Chloride 0.025 MEQ/ML / sodium sulfate 0.04 MEQ/ML Oral Solution [Golytely]"
50,"Prevpac Oral Miscellaneous","{4 (Amoxicillin 500 MG Oral Capsule [Trimox]) / 2 (Clarithromycin 500 MG Oral Tablet [Biaxin]) / 2 (lansoprazole 30 MG Delayed Release Oral Capsule [Prevacid]) } Pack [Prevpac]"
50,"Quasense 0.15-0.03 MG Oral Tablet","{84 (Ethinyl Estradiol 0.03 MG / Levonorgestrel 0.15 MG Oral Tablet) / 7 (Inert Ingredients 1 MG Oral Tablet) } Pack [Quasense 91 Day]"
50,"ReliOn 70/30 70-30 % SUSP","NPH Insulin, Human 70 UNT/ML / Regular Insulin, Human 30 UNT/ML Injectable Suspension [Novolin]"
50,"Vagifem 25 MCG TABS","Estradiol 0.01 MG Vaginal Tablet [Vagifem]"
53,"Hematogen FA 200-250-0.01-1 MG Oral Capsule","Ascorbic Acid 250 MG / Ferrous fumarate 200 MG / Folic Acid 1 MG / Vitamin B 12 0.01 MG Oral Capsule"
54,"Allegra-D 12 Hour 60-120 MG TB12","12 HR Fexofenadine hydrochloride 60 MG / Pseudoephedrine Hydrochloride 120 MG Extended Release Oral Tablet [Allegra-D]"
54,"Allegra-D 24 Hour 180-240 MG TB24","24 HR Fexofenadine hydrochloride 180 MG / Pseudoephedrine Hydrochloride 240 MG Extended Release Oral Tablet [Allegra-D]"
54,"Cepacol Sore Throat Max Numb 15-4 MG Mouth/Throat Lozenge","Benzocaine 15 MG / Menthol 4 MG Oral Lozenge [Cepacol Sore Throat Pain Relief]"
55,"Apri 0.15-30 MG-MCG Oral Tablet","{21 (Desogestrel 0.15 MG / Ethinyl Estradiol 0.03 MG Oral Tablet) / 7 (Inert Ingredients 1 MG Oral Tablet) } Pack [Apri 28 Day]"
55,"Atrovent HFA 17 MCG/ACT Inhalation Aerosol Solution","200 ACTUAT Ipratropium Bromide 0.017 MG/ACTUAT Metered Dose Inhaler [Atrovent]"
55,"Fexofenadine-Pseudoephedrine 180-240 MG TB24","24 HR Fexofenadine hydrochloride 180 MG / Pseudoephedrine Hydrochloride 240 MG Extended Release Oral Tablet"
55,"Fexofenadine-Pseudoephedrine 60-120 MG TB12","12 HR Fexofenadine hydrochloride 60 MG / Pseudoephedrine Hydrochloride 120 MG Extended Release Oral Tablet"
55,"Fleet Enema 7-19 GM/118ML Rectal Enema","Sodium Phosphate, Dibasic 59.3 MG/ML / Sodium Phosphate, Monobasic 161 MG/ML Enema [Fleet Enema]"
55,"ProAir HFA 108 (90 Base) MCG/ACT Inhalation Aerosol Solution","200 ACTUAT Albuterol 0.09 MG/ACTUAT Metered Dose Inhaler [ProAir HFA]"
55,"Proventil HFA 108 (90 Base) MCG/ACT Inhalation Aerosol Solution","200 ACTUAT Albuterol 0.09 MG/ACTUAT Metered Dose Inhaler [Proventil]"
55,"Pulmicort Flexhaler 180 MCG/ACT Inhalation Aerosol Powder Breath Activated","120 ACTUAT Budesonide 0.16 MG/ACTUAT Dry Powder Inhaler [Pulmicort]"
55,"Pulmicort Flexhaler 90 MCG/ACT Inhalation Aerosol Powder Breath Activated","60 ACTUAT Budesonide 0.08 MG/ACTUAT Dry Powder Inhaler [Pulmicort]"
55,"RisperDAL Consta 25 MG Intramuscular Suspension Reconstituted","Risperidone 12.5 MG/ML Injectable Suspension [Risperdal]"
55,"RisperDAL Consta 50 MG Intramuscular Suspension Reconstituted","Risperidone 25 MG/ML Injectable Suspension [Risperdal]"
55,"Synvisc One 8 MG/ML Intra-articular Injectable","6 ML HYLAN G-F 20 8 MG/ML Prefilled Syringe [Synvisc]"
55,"Trelstar LA Mixject 11.25 MG Intramuscular Suspension Reconstituted","Triptorelin 5.63 MG/ML Injectable Suspension [Trelstar]"
55,"Ventolin HFA 108 (90 Base) MCG/ACT Inhalation Aerosol Solution","200 ACTUAT Albuterol 0.09 MG/ACTUAT Metered Dose Inhaler [Ventolin]"
56,"Allegra ODT 30 MG TBDP","Fexofenadine hydrochloride 30 MG Disintegrating Oral Tablet [Allegra]"
56,"Betaseron 0.3 MG Subcutaneous Solution Reconstituted","interferon beta-1b 0.25 MG/ML Injectable Solution [Betaseron]"
56,"Fish Oil Double Strength 1200 MG Oral Capsule","docosahexaenoic acid 200 MG / Eicosapentaenoic Acid 300 MG / Vitamin E 1 UNT Oral Capsule"
56,"NitroMist 400 MCG/SPRAY Translingual Aerosol Solution","Nitroglycerin 0.4 MG/ACTUAT Mucosal Spray [NitroMist]"
56,"Omnitrope 5.8 MG Subcutaneous Solution Reconstituted","Somatropin 5 MG/ML Injectable Solution [Omnitrope]"
56,"Rhinocort Aqua 32 MCG/ACT Nasal Suspension","120 ACTUAT Budesonide 0.032 MG/ACTUAT Nasal Inhaler [Rhinocort]"
56,"Tev-Tropin 5 MG Subcutaneous Solution Reconstituted","Somatropin 5 MG/ML Injectable Solution [Tev Tropin]"
56,"Thyrogen 1.1 MG Intramuscular Solution Reconstituted","thyrotropin alfa (USP) 0.9 MG/ML Injectable Solution [Thyrogen]"
56,"Tylenol Cold 30-2-15-325 MG Oral Tablet","Acetaminophen 325 MG Oral Tablet [Tylenol]"
57,"Avonex 30 MCG Intramuscular Kit","Interferon beta-1a 0.03 MG/ML Injectable Solution [Avonex]"
57,"Benzoyl Peroxide Wash 7 % External Liquid","Benzoyl Peroxide 70 MG/ML Medicated Liquid Soap"
57,"Ferralet 90 90-1 MG Oral Tablet","Ascorbic Acid 120 MG / Docusate Sodium 50 MG / Folic Acid 1 MG / Iron Carbonyl 90 MG / Vitamin B 12 0.012 MG Oral Tablet [Ferralet 90]"
57,"Imitrex 20 MG/ACT Nasal Solution","Sumatriptan 20 MG/ACTUAT Nasal Spray [Imitrex]"
57,"Patanase 0.6 % Nasal Solution","240 ACTUAT Olopatadine hydrochloride 6.65 MG/ACTUAT Nasal Inhaler [PATANASE]"
57,"PEG 3350 Oral Powder","POLYETHYLENE GLYCOL 3350 105 MG/ML / Potassium Chloride 0.00497 MEQ/ML / Sodium Bicarbonate 0.017 MEQ/ML / Sodium Chloride 0.0479 MEQ/ML Oral Solution"
58,"CombiPatch 0.05-0.14 MG/DAY Transdermal Patch Biweekly","84 HR Estradiol 0.00208 MG/HR / norethindrone acetate 0.00583 MG/HR Transdermal Patch"
58,"Cortic-ND 10-10-1 MG/ML Otic Solution","chloroxylenol 1 MG/ML / Hydrocortisone 10 MG/ML / Pramoxine hydrochloride 10 MG/ML Otic Solution"
58,"HumaLOG Mix 75/25 Pen 75-25 % SUSP","Insulin Lispro 25 UNT/ML / Insulin, Protamine Lispro, Human 75 UNT/ML Injectable Suspension [Humalog Mix]"
58,"HumuLIN 70/30 70-30 % Subcutaneous Suspension","NPH Insulin, Human 70 UNT/ML / Regular Insulin, Human 30 UNT/ML Injectable Suspension [Humulin]"
58,"NovoLIN 70/30 70-30 % Subcutaneous Suspension","NPH Insulin, Human 70 UNT/ML / Regular Insulin, Human 30 UNT/ML Injectable Suspension [Novolin]"
58,"RisperDAL Consta 37.5 MG Intramuscular Suspension Reconstituted","Risperidone 18.8 MG/ML Injectable Suspension [Risperdal]"
60,"Aczone 5 % External Gel","Dapsone 0.05 MG/MG Topical Gel [Aczone]"
60,"Bactroban 2 % External Cream","Mupirocin 20 MG/ML Topical Cream [Bactroban]"
60,"Beconase AQ 42 MCG/SPRAY Nasal Suspension","180 ACTUAT Beclomethasone Dipropionate 0.042 MG/ACTUAT Nasal Inhaler [Beconase]"
60,"Clotrimazole AF 1 % External Cream","Clotrimazole 10 MG/ML Topical Cream"
60,"Cyto-Q 80 MG/10ML Oral Liquid","Docusate Sodium 10 MG/ML Oral Solution"
60,"Denavir 1 % External Cream","penciclovir 10 MG/ML Topical Cream [Denavir]"
60,"Elidel 1 % External Cream","Pimecrolimus 10 MG/ML Topical Cream [Elidel]"
