"medication","medication_definition_id","indications","rxcui","score","rank","nAtoms","name","synonym","tty","language","suppress","umlscui","ttypriority"
"4-Aminopyridine Powder",108483,1,897018,67,5,12,"dalfampridine","","IN","ENG","N","C0000477",8
"Abilify 1 MG/ML Oral Solution",123191,2,544412,100,1,7,"aripiprazole 1 MG/ML Oral Solution [Abilify]","Abilify 1 MG/ML Oral Solution","SBD","ENG","N","C1586223",2
"Abilify 10 MG Oral Tablet",104197,11,352307,100,1,16,"aripiprazole 10 MG Oral Tablet [Abilify]","Abilify 10 MG Oral Tablet","SBD","ENG","N","C1169930",2
"Abilify 15 MG Oral Tablet",104198,5,352308,100,1,13,"aripiprazole 15 MG Oral Tablet [Abilify]","Abilify 15 MG Oral Tablet","SBD","ENG","N","C1169931",2
"Abilify 2 MG Oral Tablet",133296,16,615172,100,1,14,"aripiprazole 2 MG Oral Tablet [Abilify]","Abilify 2 MG Oral Tablet","SBD","ENG","N","C1698004",2
"Abilify 20 MG Oral Tablet",104199,3,352309,100,1,13,"aripiprazole 20 MG Oral Tablet [Abilify]","Abilify 20 MG Oral Tablet","SBD","ENG","N","C1169932",2
"Abilify 30 MG Oral Tablet",104200,4,352310,100,1,12,"aripiprazole 30 MG Oral Tablet [Abilify]","Abilify 30 MG Oral Tablet","SBD","ENG","N","C1169933",2
"Abilify 5 MG Oral Tablet",113943,13,404602,100,1,17,"aripiprazole 5 MG Oral Tablet [Abilify]","Abilify 5 MG Oral Tablet","SBD","ENG","N","C1329807",2
"Acarbose 25 MG Oral Tablet",141064,1,200132,100,1,17,"Acarbose 25 MG Oral Tablet","","SCD","ENG","N","C0694024",1
"Acetamin 500 MG Oral Tablet",24548,1,198440,100,1,40,"Acetaminophen 500 MG Oral Tablet","APAP 500 MG Oral Tablet","SCD","ENG","N","C0691089",1
"Acetaminophen 160 MG/5ML Oral Elixir",22553,1,307675,100,1,12,"Acetaminophen 32 MG/ML Oral Solution","APAP 32 MG/ML Oral Solution","SCD","ENG","N","C0973757",1
